File: airs-bp
Type: alloc_objects
Time: Aug 26, 2023 at 7:15pm (UTC)
Showing nodes accounting for 6802207, 85.28% of 7975890 total
Dropped 397 nodes (cum <= 39879)
      flat  flat%   sum%        cum   cum%
     23664   0.3% 82.82%     296104  3.71%  github.com/voedger/voedger/pkg/istructsmem.newKey
     21846  0.27% 83.10%     812825 10.19%  encoding/json.Unmarshal
     21846  0.27% 83.37%      70999  0.89%  github.com/gocql/gocql.(*dcAwareRR).Pick
     21846  0.27% 83.65%     454978  5.70%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
     18660  0.23% 83.88%     138075  1.73%  github.com/gocql/gocql.(*Conn).executeQuery
     17478  0.22% 84.10%     735386  9.22%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).PutBatch
     16385  0.21% 84.30%     751771  9.43%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
     16384  0.21% 84.51%     263908  3.31%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).NewKeyBuilder
     12288  0.15% 84.66%     196445  2.46%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
      9831  0.12% 84.79%      41900  0.53%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).ElementBuilder
      8192   0.1% 84.89%     393023  4.93%  github.com/alecthomas/participle/v2.(*structLexer).Peek
      6554 0.082% 84.97%     407924  5.11%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
      6554 0.082% 85.05%     788670  9.89%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthenticator).Authenticate
      5461 0.068% 85.12%     520217  6.52%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
      4682 0.059% 85.18%      90910  1.14%  net/http.(*conn).readRequest
      2731 0.034% 85.21%     412267  5.17%  github.com/alecthomas/participle/v2.(*group).Parse
      2048 0.026% 85.24%     590841  7.41%  github.com/alecthomas/participle/v2.(*generatorContext).parseDisjunction
      2048 0.026% 85.27%      86228  1.08%  net/http.readRequest
      1365 0.017% 85.28%      65454  0.82%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).Update
       108 0.0014% 85.28%     590841  7.41%  github.com/alecthomas/participle/v2.(*generatorContext).parseType
         0     0% 85.28%      66448  0.83%  bytes.(*Buffer).Write
         0     0% 85.28%     253275  3.18%  encoding/json.(*Decoder).Decode
         0     0% 85.28%     104396  1.31%  encoding/json.(*decodeState).array
         0     0% 85.28%      65536  0.82%  encoding/json.(*decodeState).scanWhile
         0     0% 85.28%    1042206 13.07%  encoding/json.(*decodeState).unmarshal
         0     0% 85.28%     976670 12.25%  encoding/json.(*decodeState).value
         0     0% 85.28%     663088  8.31%  encoding/json.(*decodeState).valueInterface
         0     0% 85.28%      65536  0.82%  encoding/json.stateBeginValue
         0     0% 85.28%      49186  0.62%  github.com/VictoriaMetrics/fastcache.(*Cache).HasGet
         0     0% 85.28%     342023  4.29%  github.com/alecthomas/participle/v2.(*Parser[...]).ParseFromLexer
         0     0% 85.28%     360768  4.52%  github.com/alecthomas/participle/v2.(*Parser[...]).ParseString
         0     0% 85.28%     360762  4.52%  github.com/alecthomas/participle/v2.(*Parser[...]).parse
         0     0% 85.28%     342023  4.29%  github.com/alecthomas/participle/v2.(*Parser[...]).parseInto
         0     0% 85.28%     342023  4.29%  github.com/alecthomas/participle/v2.(*Parser[...]).parseOne
         0     0% 85.28%     412267  5.17%  github.com/alecthomas/participle/v2.(*disjunction).Parse
         0     0% 85.28%     590841  7.41%  github.com/alecthomas/participle/v2.(*generatorContext).parseCapture
         0     0% 85.28%     194706  2.44%  github.com/alecthomas/participle/v2.(*generatorContext).parseGroup
         0     0% 85.28%     590841  7.41%  github.com/alecthomas/participle/v2.(*generatorContext).parseTerm
         0     0% 85.28%     590841  7.41%  github.com/alecthomas/participle/v2.(*generatorContext).parseTermNoModifiers
         0     0% 85.28%     226450  2.84%  github.com/alecthomas/participle/v2.(*generatorContext).subparseGroup
         0     0% 85.28%     412267  5.17%  github.com/alecthomas/participle/v2.(*strct).Parse
         0     0% 85.28%     147456  1.85%  github.com/alecthomas/participle/v2.(*tagLexer).Next
         0     0% 85.28%     189164  2.37%  github.com/alecthomas/participle/v2.Build[...]
         0     0% 85.28%     181022  2.27%  github.com/alecthomas/participle/v2.MustBuild[...] (inline)
         0     0% 85.28%      63456   0.8%  github.com/alecthomas/participle/v2.lexStruct
         0     0% 85.28%      47894   0.6%  github.com/gocql/gocql.(*Batch).attempt
         0     0% 85.28%     277603  3.48%  github.com/gocql/gocql.(*Batch).execute
         0     0% 85.28%      71839   0.9%  github.com/gocql/gocql.(*Conn).awaitSchemaAgreement
         0     0% 85.28%      49229  0.62%  github.com/gocql/gocql.(*Conn).serve
         0     0% 85.28%      88808  1.11%  github.com/gocql/gocql.(*Iter).Scan
         0     0% 85.28%      88223  1.11%  github.com/gocql/gocql.(*Iter).SliceMap
         0     0% 85.28%     211595  2.65%  github.com/gocql/gocql.(*Query).Exec
         0     0% 85.28%     217056  2.72%  github.com/gocql/gocql.(*Query).Iter
         0     0% 85.28%     132614  1.66%  github.com/gocql/gocql.(*Query).execute
         0     0% 85.28%     347343  4.35%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0% 85.28%     347343  4.35%  github.com/gocql/gocql.(*Session).executeBatch
         0     0% 85.28%     217056  2.72%  github.com/gocql/gocql.(*Session).executeQuery
         0     0% 85.28%      49994  0.63%  github.com/gocql/gocql.(*Session).handleKeyspaceChange
         0     0% 85.28%      49994  0.63%  github.com/gocql/gocql.(*Session).handleSchemaEvent
         0     0% 85.28%      49994  0.63%  github.com/gocql/gocql.(*controlConn).awaitSchemaAgreement
         0     0% 85.28%      49994  0.63%  github.com/gocql/gocql.(*controlConn).awaitSchemaAgreement.func1
         0     0% 85.28%      49994  0.63%  github.com/gocql/gocql.(*controlConn).withConn
         0     0% 85.28%      49994  0.63%  github.com/gocql/gocql.(*controlConn).withConn.func1
         0     0% 85.28%      49994  0.63%  github.com/gocql/gocql.(*controlConn).withConnHost
         0     0% 85.28%      49897  0.63%  github.com/gocql/gocql.(*framer).parseFrame
         0     0% 85.28%     493400  6.19%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0% 85.28%     493400  6.19%  github.com/gocql/gocql.(*queryExecutor).do
         0     0% 85.28%     564399  7.08%  github.com/gocql/gocql.(*queryExecutor).executeQuery
         0     0% 85.28%      83183  1.04%  github.com/gocql/gocql.(*queryMetrics).attempt
         0     0% 85.28%     109226  1.37%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0% 85.28%      88808  1.11%  github.com/gocql/gocql.Unmarshal
         0     0% 85.28%      88808  1.11%  github.com/gocql/gocql.scanColumn
         0     0% 85.28%      87638  1.10%  github.com/gocql/gocql.unmarshalList
