File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 5:44pm (UTC)
Showing nodes accounting for 5555279, 87.55% of 6345515 total
Dropped 358 nodes (cum <= 31727)
      flat  flat%   sum%        cum   cum%
     21846  0.34% 83.45%     190634  3.00%  github.com/voedger/voedger/pkg/state.(*bundleImpl).put
     21845  0.34% 83.80%      47073  0.74%  encoding/json.(*decodeState).array
     21845  0.34% 84.14%      43690  0.69%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     20286  0.32% 84.46%     147403  2.32%  net/http.(*conn).readRequest
     16385  0.26% 84.72%      42298  0.67%  github.com/gocql/gocql.(*Conn).recv
     16384  0.26% 84.98%      49152  0.77%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs
     11668  0.18% 85.16%      93589  1.47%  github.com/gocql/gocql.(*framer).readStringMultiMap
     11378  0.18% 85.34%     134676  2.12%  github.com/gocql/gocql.(*Conn).executeQuery
     10923  0.17% 85.51%      60075  0.95%  github.com/gocql/gocql.(*dcAwareRR).Pick
     10923  0.17% 85.69%     277255  4.37%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
     10923  0.17% 85.86%     256380  4.04%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4
     10923  0.17% 86.03%      51884  0.82%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
     10923  0.17% 86.20%      48971  0.77%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).storeToBytes
     10923  0.17% 86.38%      74559  1.17%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).validate
     10922  0.17% 86.55%      76458  1.20%  github.com/voedger/voedger/pkg/pipeline.NewAsyncPipeline
     10012  0.16% 86.71%      57561  0.91%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).Update
      8192  0.13% 86.83%     106757  1.68%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3
      8192  0.13% 86.96%     134896  2.13%  github.com/voedger/voedger/pkg/router.requestHandler.func1
      8192  0.13% 87.09%      95106  1.50%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ProvideValueBuilder
      7282  0.11% 87.21%     424129  6.68%  github.com/alecthomas/participle/v2.(*generatorContext).parseCapture
      6554   0.1% 87.31%     615196  9.69%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).PutBatch
      5461 0.086% 87.40%      73947  1.17%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity
      3687 0.058% 87.46%      36455  0.57%  github.com/alecthomas/participle/v2.isLeftRecursive.func2
      3641 0.057% 87.51%     689816 10.87%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthenticator).Authenticate
      2048 0.032% 87.54%     127117  2.00%  net/http.readRequest
       119 0.0019% 87.55%      68932  1.09%  github.com/alecthomas/participle/v2.validate.func1
         0     0% 87.55%     120314  1.90%  bytes.(*Buffer).Write
         0     0% 87.55%     283422  4.47%  encoding/json.(*Decoder).Decode
         0     0% 87.55%     307263  4.84%  encoding/json.(*decodeState).arrayInterface
         0     0% 87.55%      32768  0.52%  encoding/json.(*decodeState).literalInterface
         0     0% 87.55%     729612 11.50%  encoding/json.(*decodeState).unmarshal
         0     0% 87.55%     729612 11.50%  encoding/json.(*decodeState).value
         0     0% 87.55%     307263  4.84%  encoding/json.(*decodeState).valueInterface
         0     0% 87.55%      32222  0.51%  github.com/VictoriaMetrics/fastcache.(*Cache).HasGet
         0     0% 87.55%     251043  3.96%  github.com/alecthomas/participle/v2.(*Parser[...]).ParseFromLexer
