File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 4:43pm (UTC)
Showing nodes accounting for 6276932, 85.12% of 7374217 total
Dropped 349 nodes (cum <= 36871)
      flat  flat%   sum%        cum   cum%
    720901  9.78%  9.78%     753669 10.22%  github.com/voedger/voedger/pkg/parser.iterate
    710663  9.64% 19.41%     710663  9.64%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    382299  5.18% 24.60%     382299  5.18%  encoding/json.unquote (inline)
    344071  4.67% 29.26%     596850  8.09%  github.com/untillpro/dynobuffers.glob..func1
    327681  4.44% 33.71%     338604  4.59%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
    252779  3.43% 37.13%     252779  3.43%  github.com/google/flatbuffers/go.NewBuilder (inline)
    188337  2.55% 39.69%     999125 13.55%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    147074  1.99% 41.68%     300008  4.07%  github.com/alecthomas/participle/v2/lexer.Upgrade
    131072  1.78% 43.46%     131072  1.78%  encoding/json.(*decodeState).convertNumber
    109227  1.48% 44.94%     554318  7.52%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    106498  1.44% 46.39%     138133  1.87%  bytes.(*Buffer).grow
    105363  1.43% 47.81%     257890  3.50%  github.com/gocql/gocql.(*Conn).executeBatch
    102605  1.39% 49.21%     572285  7.76%  encoding/json.(*decodeState).objectInterface
    100388  1.36% 50.57%     144079  1.95%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
    100191  1.36% 51.93%     100191  1.36%  reflect.New
    100125  1.36% 53.28%     100125  1.36%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
     90746  1.23% 54.51%      90746  1.23%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
     90121  1.22% 55.74%      90121  1.22%  github.com/gocql/gocql.newFramer (inline)
     89568  1.21% 56.95%      89645  1.22%  time.NewTimer
     81921  1.11% 58.06%      81921  1.11%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validKey
     81920  1.11% 59.17%      85316  1.16%  github.com/alecthomas/participle/v2.visit
     76459  1.04% 60.21%     255586  3.47%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
     76007  1.03% 61.24%      76007  1.03%  encoding/base64.(*Encoding).DecodeString
     65537  0.89% 62.13%      65537  0.89%  github.com/gocql/gocql.roundRobbin
     65537  0.89% 63.02%      65537  0.89%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     65536  0.89% 63.91%      65536  0.89%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
     65535  0.89% 64.80%      65535  0.89%  github.com/gocql/gocql.unmarshalVarchar
     64445  0.87% 65.67%      64445  0.87%  fmt.Sprintf
     62264  0.84% 66.51%      62264  0.84%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     55857  0.76% 67.27%      55857  0.76%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
     54614  0.74% 68.01%     198607  2.69%  github.com/gocql/gocql.(*Conn).exec
     54614  0.74% 68.75%     103767  1.41%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
     49152  0.67% 69.42%      49152  0.67%  encoding/json.(*scanner).pushParseState
     47895  0.65% 70.07%      47895  0.65%  github.com/gocql/gocql.(*Session).NewBatch
     43692  0.59% 70.66%     229534  3.11%  github.com/voedger/voedger/pkg/istructsmem.newValue
     43691  0.59% 71.25%      87381  1.18%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     43691  0.59% 71.85%      43691  0.59%  github.com/valyala/bytebufferpool.(*Pool).Get
     43691  0.59% 72.44%     141995  1.93%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     43691  0.59% 73.03%      54630  0.74%  regexp.(*Regexp).doExecute
     43691  0.59% 73.62%      43691  0.59%  strings.genSplit
