File: airs-bp
Type: alloc_objects
Time: Aug 12, 2023 at 1:08pm (UTC)
Showing nodes accounting for 6556982, 83.08% of 7892075 total
Dropped 434 nodes (cum <= 39460)
      flat  flat%   sum%        cum   cum%
    881673 11.17% 11.17%     881673 11.17%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    709984  9.00% 20.17%     709984  9.00%  encoding/json.unquote (inline)
    351319  4.45% 24.62%     649743  8.23%  github.com/untillpro/dynobuffers.glob..func1
    298424  3.78% 28.40%     298424  3.78%  github.com/google/flatbuffers/go.NewBuilder (inline)
    212994  2.70% 31.10%     212994  2.70%  encoding/json.(*decodeState).literalStore
    163843  2.08% 33.18%     212995  2.70%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
    163842  2.08% 35.25%     229379  2.91%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
    153218  1.94% 37.19%     409934  5.19%  github.com/alecthomas/participle/v2/lexer.Upgrade
    139267  1.76% 38.96%     139267  1.76%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validKey
    134676  1.71% 40.66%     134676  1.71%  reflect.New
    120442  1.53% 42.19%    1070019 13.56%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    118170  1.50% 43.69%     118170  1.50%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
    113599  1.44% 45.13%     113599  1.44%  time.NewTimer
    109227  1.38% 46.51%     478559  6.06%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    108393  1.37% 47.88%     108393  1.37%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
     98312  1.25% 49.13%      98312  1.25%  github.com/gocql/gocql.newFramer (inline)
     98304  1.25% 50.38%     131072  1.66%  github.com/alecthomas/participle/v2.textScannerTransform
     98304  1.25% 51.62%     109227  1.38%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
     93896  1.19% 52.81%      93896  1.19%  net/textproto.readMIMEHeader
     90113  1.14% 53.95%     127606  1.62%  bytes.(*Buffer).grow
     88425  1.12% 55.07%     132116  1.67%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
     87382  1.11% 56.18%    1358674 17.22%  encoding/json.(*decodeState).object
     87382  1.11% 57.29%      87382  1.11%  github.com/gocql/gocql.(*writeCoalescer).flush
     81920  1.04% 58.33%      81920  1.04%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
     74334  0.94% 59.27%     937236 11.88%  encoding/json.(*decodeState).objectInterface
     73899  0.94% 60.20%     436577  5.53%  github.com/alecthomas/participle/v2.(*sequence).Parse
     72095  0.91% 61.12%      72095  0.91%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     67904  0.86% 61.98%      67904  0.86%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
     65538  0.83% 62.81%      65538  0.83%  fmt.Sprintf
     65537  0.83% 63.64%      65537  0.83%  encoding/json.(*decodeState).convertNumber
     65537  0.83% 64.47%      74761  0.95%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutNumber
     65537  0.83% 65.30%      65537  0.83%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     65536  0.83% 66.13%      65536  0.83%  encoding/json.(*scanner).pushParseState
     65536  0.83% 66.96%      67948  0.86%  github.com/alecthomas/participle/v2.visit
     65536  0.83% 67.79%     114688  1.45%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
     65536  0.83% 68.62%      65536  0.83%  reflect.(*structType).Field
     60499  0.77% 69.39%      93267  1.18%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
     54614  0.69% 70.08%      91164  1.16%  github.com/voedger/voedger/pkg/state.implProvideQueryProcessorState
     54162  0.69% 70.77%     214963  2.72%  github.com/gocql/gocql.(*Conn).executeBatch
     50519  0.64% 71.41%     216502  2.74%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
     49152  0.62% 72.03%      82667  1.05%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs.func2
     43691  0.55% 72.58%      43723  0.55%  regexp.(*Regexp).backtrack
     43690  0.55% 73.14%      73085  0.93%  github.com/alecthomas/participle/v2.(*generatorContext).parseModifier
     43690  0.55% 73.69%     436577  5.53%  github.com/alecthomas/participle/v2.(*strct).Parse
     43689  0.55% 74.24%     243551  3.09%  github.com/gocql/gocql.(*Conn).exec
