File: airs-bp
Type: alloc_objects
Time: Aug 10, 2023 at 7:13pm (UTC)
Showing nodes accounting for 6011637, 83.04% of 7239195 total
Dropped 418 nodes (cum <= 36195)
      flat  flat%   sum%        cum   cum%
    703499  9.72%  9.72%     703499  9.72%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    666291  9.20% 18.92%     666291  9.20%  encoding/json.unquote (inline)
    318322  4.40% 23.32%     561741  7.76%  github.com/untillpro/dynobuffers.glob..func1
    243419  3.36% 26.68%     243419  3.36%  github.com/google/flatbuffers/go.NewBuilder (inline)
    191251  2.64% 29.32%     951549 13.14%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    176138  2.43% 31.76%     218266  3.02%  github.com/alecthomas/participle/v2/lexer.Upgrade
    163841  2.26% 34.02%     174764  2.41%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
    131072  1.81% 35.83%     513422  7.09%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    128123  1.77% 37.60%     128123  1.77%  reflect.New
    119184  1.65% 39.25%     949316 13.11%  encoding/json.(*decodeState).objectInterface
    107882  1.49% 40.74%     124266  1.72%  github.com/alecthomas/participle/v2.newTagLexer
     98305  1.36% 42.09%     104449  1.44%  github.com/voedger/voedger/pkg/processors/command.(*opSendResponse).DoSync
     98305  1.36% 43.45%     141996  1.96%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
     94150  1.30% 44.75%     137841  1.90%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
     87383  1.21% 45.96%     120152  1.66%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
     84198  1.16% 47.12%     237432  3.28%  github.com/gocql/gocql.(*Conn).executeBatch
     81921  1.13% 48.26%     101153  1.40%  bytes.(*Buffer).grow
     81920  1.13% 49.39%     521603  7.21%  github.com/alecthomas/participle/v2.(*generatorContext).parseSequence
     81920  1.13% 50.52%      81920  1.13%  github.com/gocql/gocql.(*writeCoalescer).writeContext
     81920  1.13% 51.65%     163840  2.26%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
     81920  1.13% 52.78%      81920  1.13%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
     81920  1.13% 53.91%     184105  2.54%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ProvideValueBuilder
     81919  1.13% 55.04%      91285  1.26%  github.com/untillpro/ibusmem.(*bus).SendRequest2
     76462  1.06% 56.10%     222049  3.07%  github.com/voedger/voedger/pkg/istructsmem.newValue
     76459  1.06% 57.16%    1159579 16.02%  encoding/json.(*decodeState).object
     73734  1.02% 58.18%      73734  1.02%  github.com/gocql/gocql.newFramer (inline)
     73731  1.02% 59.19%      73731  1.02%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
     65537  0.91% 60.10%      77552  1.07%  context.WithCancel
     65537  0.91% 61.00%      65537  0.91%  encoding/json.(*decodeState).convertNumber
     65536  0.91% 61.91%     163841  2.26%  encoding/json.(*decodeState).literalInterface
     65536  0.91% 62.82%      65536  0.91%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutInt64
     63351  0.88% 63.69%      63863  0.88%  time.NewTimer
     56799  0.78% 64.48%      56799  0.78%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
     56047  0.77% 65.25%      56047  0.77%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
     54614  0.75% 66.00%     247674  3.42%  github.com/gocql/gocql.(*Conn).exec
     54614  0.75% 66.76%     152919  2.11%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     49152  0.68% 67.44%      81920  1.13%  encoding/json.(*decodeState).literalStore
     49152  0.68% 68.12%      54327  0.75%  github.com/alecthomas/participle/v2.visit
     49152  0.68% 68.80%      49152  0.68%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs
     49152  0.68% 69.47%      49152  0.68%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validKey
     47895  0.66% 70.14%      47895  0.66%  github.com/gocql/gocql.(*Session).NewBatch
     45876  0.63% 70.77%     225673  3.12%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
     45378  0.63% 71.40%      45378  0.63%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
     43691   0.6% 72.00%      65536  0.91%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     43691   0.6% 72.60%      43691   0.6%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     42602  0.59% 73.19%      42602  0.59%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     42325  0.58% 73.78%     211966  2.93%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
     40960  0.57% 74.34%      40960  0.57%  github.com/gocql/gocql.roundRobbin
     39066  0.54% 74.88%      39071  0.54%  runtime/pprof.(*profileBuilder).emitLocation
     38227  0.53% 75.41%     271582  3.75%  github.com/voedger/voedger/pkg/istructsmem.newKey
     33681  0.47% 75.88%     190012  2.62%  github.com/gocql/gocql.(*Conn).executeQuery
     32769  0.45% 76.33%      73729  1.02%  github.com/gocql/gocql.(*dcAwareRR).Pick
     32769  0.45% 76.78%      48243  0.67%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).storeToBytes
     32768  0.45% 77.23%     907213 12.53%  encoding/json.(*decodeState).arrayInterface
     32768  0.45% 77.69%      37932  0.52%  github.com/alecthomas/participle/v2.setField
     32768  0.45% 78.14%     239127  3.30%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
     32768  0.45% 78.59%      43768   0.6%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutNumber
     32768  0.45% 79.04%      51673  0.71%  github.com/voedger/voedger/pkg/istructsmem/internal/dynobuf.DynoBufSchemes.add
     32768  0.45% 79.50%      38229  0.53%  github.com/voedger/voedger/pkg/pipeline.NewAsyncPipeline
     32768  0.45% 79.95%     299047  4.13%  github.com/voedger/voedger/pkg/state.(*viewRecordsValueBuilder).BuildValue
     31403  0.43% 80.38%     289559  4.00%  github.com/alecthomas/participle/v2.(*sequence).Parse
     21845   0.3% 80.68%     289559  4.00%  github.com/alecthomas/participle/v2.(*capture).Parse
     21845   0.3% 80.99%     521603  7.21%  github.com/alecthomas/participle/v2.(*generatorContext).parseDisjunction
