File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 6:09pm (UTC)
Showing nodes accounting for 6707825, 85.24% of 7869267 total
Dropped 389 nodes (cum <= 39346)
      flat  flat%   sum%        cum   cum%
    708622  9.00%  9.00%     708622  9.00%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    622597  7.91% 16.92%     622597  7.91%  github.com/voedger/voedger/pkg/parser.iterate
    360453  4.58% 21.50%     360453  4.58%  encoding/json.unquote (inline)
    302639  3.85% 25.34%     597551  7.59%  github.com/untillpro/dynobuffers.glob..func1
    294912  3.75% 29.09%     294912  3.75%  github.com/google/flatbuffers/go.NewBuilder (inline)
    219405  2.79% 31.88%     981365 12.47%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    163840  2.08% 33.96%     218453  2.78%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
    163840  2.08% 36.04%     163840  2.08%  reflect.(*structType).Field
    145472  1.85% 37.89%     145472  1.85%  reflect.New
    131074  1.67% 39.56%     174765  2.22%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
    128843  1.64% 41.19%     128843  1.64%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
    127418  1.62% 42.81%     288560  3.67%  github.com/alecthomas/participle/v2/lexer.Upgrade
    114698  1.46% 44.27%     114698  1.46%  github.com/gocql/gocql.newFramer (inline)
    109228  1.39% 45.66%     133804  1.70%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
     98305  1.25% 46.91%      98305  1.25%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
     98304  1.25% 48.16%      98304  1.25%  github.com/alecthomas/participle/v2.textScannerTransform
     98304  1.25% 49.41%      98304  1.25%  github.com/voedger/voedger/pkg/pipeline.NewAsyncPipeline
     94668  1.20% 50.61%     149281  1.90%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
     88552  1.13% 51.74%      88552  1.13%  github.com/gocql/gocql.unmarshalVarchar
     87381  1.11% 52.85%      99897  1.27%  github.com/voedger/voedger/pkg/istructsmem.storeRow
     87380  1.11% 53.96%     482918  6.14%  github.com/alecthomas/participle/v2.(*capture).Parse
     86290  1.10% 55.05%      86290  1.10%  time.NewTimer
     85203  1.08% 56.14%      85203  1.08%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     84652  1.08% 57.21%     277728  3.53%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
     76458  0.97% 58.18%     764714  9.72%  encoding/json.(*decodeState).object
     75672  0.96% 59.14%     534430  6.79%  encoding/json.(*decodeState).objectInterface
     75622  0.96% 60.11%      75622  0.96%  github.com/gocql/gocql.(*Session).NewBatch
     74294  0.94% 61.05%      90678  1.15%  github.com/alecthomas/participle/v2.newTagLexer
     73729  0.94% 61.99%     109456  1.39%  bytes.(*Buffer).grow
     71496  0.91% 62.89%      71496  0.91%  net/textproto.MIMEHeader.Set (inline)
     68062  0.86% 63.76%      68062  0.86%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
     65537  0.83% 64.59%      98305  1.25%  encoding/json.(*decodeState).literalInterface
     65537  0.83% 65.43%     196610  2.50%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     65536  0.83% 66.26%     292891  3.72%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
     60074  0.76% 67.02%     482918  6.14%  github.com/alecthomas/participle/v2.(*sequence).Parse
     57344  0.73% 67.75%      57344  0.73%  github.com/gocql/gocql.roundRobbin
     56799  0.72% 68.47%      56799  0.72%  fmt.Sprintf
     54614  0.69% 69.17%     479316  6.09%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
     54613  0.69% 69.86%      54613  0.69%  github.com/untillpro/dynobuffers.(*Buffer).getAllValues
     53705  0.68% 70.54%     193081  2.45%  github.com/gocql/gocql.(*Conn).executeBatch
     53338  0.68% 71.22%      53338  0.68%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
     51156  0.65% 71.87%      51156  0.65%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
     49153  0.62% 72.49%    1029808 13.09%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
     49152  0.62% 73.12%      81920  1.04%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
     47894  0.61% 73.73%      80662  1.03%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
     46420  0.59% 74.32%     194159  2.47%  github.com/gocql/gocql.(*Conn).exec
     45513  0.58% 74.90%     157378  2.00%  github.com/gocql/gocql.(*Conn).executeQuery
     43692  0.56% 75.45%     125157  1.59%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).storeToBytes
     43691  0.56% 76.01%      43691  0.56%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     43690  0.56% 76.56%      43690  0.56%  github.com/alecthomas/participle/v2.(*reference).Parse
