File: airs-bp
Type: cpu
Time: Aug 9, 2023 at 3:44pm (UTC)
Duration: 10.04s, Total samples = 1.24s (12.36%)
Showing nodes accounting for 1.24s, 100% of 1.24s total
      flat  flat%   sum%        cum   cum%
     0.24s 19.35% 19.35%      0.24s 19.35%  runtime/internal/syscall.Syscall6
         0     0%   100%      0.01s  0.81%  github.com/hashicorp/golang-lru/v2.(*Cache[...]).Add
         0     0%   100%      0.01s  0.81%  github.com/hashicorp/golang-lru/v2/simplelru.(*LRU[...]).Add
         0     0%   100%      0.01s  0.81%  github.com/nats-io/nats-server/v2/server/pse.periodic
         0     0%   100%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*articleService).isPromoArticle
         0     0%   100%      0.02s  1.61%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
         0     0%   100%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do.func3
         0     0%   100%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateHourlySales
         0     0%   100%      0.02s  1.61%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
         0     0%   100%      0.02s  1.61%  github.com/untillpro/airs-bp3/packages/air/edit.execCmdPbill
         0     0%   100%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/ordersdates.glob..func1
         0     0%   100%      0.03s  2.42%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4
         0     0%   100%      0.03s  2.42%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.1
         0     0%   100%      0.02s  1.61%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.2
         0     0%   100%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*Buffer).Reset
         0     0%   100%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*Buffer).Set (inline)
         0     0%   100%      0.02s  1.61%  github.com/untillpro/dynobuffers.(*Buffer).ToBytes
         0     0%   100%      0.02s  1.61%  github.com/untillpro/dynobuffers.(*Buffer).ToBytesNilled
         0     0%   100%      0.05s  4.03%  github.com/untillpro/dynobuffers.NewBuffer
         0     0%   100%      0.01s  0.81%  github.com/untillpro/dynobuffers.encodeFixedSizeValue
         0     0%   100%      0.04s  3.23%  github.com/untillpro/dynobuffers.getBuffer (inline)
         0     0%   100%      0.04s  3.23%  github.com/untillpro/dynobuffers.glob..func1
         0     0%   100%      0.01s  0.81%  github.com/untillpro/ibusmem.(*bus).SendRequest2
         0     0%   100%      0.01s  0.81%  github.com/untillpro/ibusmem.(*bus).SendRequest2.func2
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.(*appDef).View
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.(*appDef).defByKind
         0     0%   100%      0.07s  5.65%  github.com/voedger/voedger/pkg/appdef.(*fields).Field (partial-inline)
         0     0%   100%      0.06s  4.84%  github.com/voedger/voedger/pkg/appdef.(*fields).Fields
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthenticator).Authenticate
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Put
         0     0%   100%      0.06s  4.84%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).PutBatch
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
