File: airs-bp
Type: alloc_objects
Time: Aug 9, 2023 at 3:45pm (UTC)
Showing nodes accounting for 5791629, 90.50% of 6399636 total
Dropped 328 nodes (cum <= 31998)
      flat  flat%   sum%        cum   cum%
    709983 11.09% 11.09%     709983 11.09%  encoding/json.unquote (inline)
    675851 10.56% 21.65%     675851 10.56%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    382221  5.97% 27.63%     702881 10.98%  github.com/untillpro/dynobuffers.glob..func1
    320660  5.01% 32.64%     320660  5.01%  github.com/google/flatbuffers/go.NewBuilder (inline)
    163842  2.56% 35.20%     273071  4.27%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
    131073  2.05% 37.25%     147457  2.30%  encoding/json.(*decodeState).literalStore
    128842  2.01% 39.26%     128842  2.01%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
    121607  1.90% 41.16%     121607  1.90%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
    109229  1.71% 42.87%     109229  1.71%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
    106507  1.66% 44.53%     106507  1.66%  github.com/gocql/gocql.newFramer (inline)
    106263  1.66% 46.19%     106263  1.66%  reflect.New
    103351  1.61% 47.81%     103351  1.61%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
    100002  1.56% 49.37%     897460 14.02%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
     99348  1.55% 50.92%     132116  2.06%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
     98308  1.54% 52.46%     322541  5.04%  github.com/gocql/gocql.(*Conn).executeBatch
     98305  1.54% 53.99%      98305  1.54%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
     98305  1.54% 55.53%      98305  1.54%  github.com/voedger/voedger/pkg/istructsmem.uint16bytes (inline)
     95574  1.49% 57.02%     251890  3.94%  github.com/gocql/gocql.(*Conn).exec
     86297  1.35% 58.37%     894584 13.98%  encoding/json.(*decodeState).objectInterface
     85196  1.33% 59.70%      85196  1.33%  time.NewTimer
     70998  1.11% 60.81%      75679  1.18%  github.com/voedger/voedger/pkg/pipeline.NewAsyncPipeline
     65536  1.02% 61.84%      84654  1.32%  bytes.(*Buffer).grow
     65536  1.02% 62.86%      65536  1.02%  encoding/json.(*decodeState).convertNumber
     65536  1.02% 63.88%    1175847 18.37%  encoding/json.(*decodeState).object
     65536  1.02% 64.91%      65536  1.02%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
     62265  0.97% 65.88%      62265  0.97%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     60075  0.94% 66.82%      60075  0.94%  github.com/gocql/gocql.(*framer).readString
     57344   0.9% 67.72%      57344   0.9%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validKey
     55457  0.87% 68.58%      55457  0.87%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
     54615  0.85% 69.44%     219390  3.43%  github.com/voedger/voedger/pkg/istructsmem.newValue
     54613  0.85% 70.29%      87381  1.37%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     50519  0.79% 71.08%     255484  3.99%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
     49154  0.77% 71.85%      95268  1.49%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).ElementBuilder
     49153  0.77% 72.62%      49153  0.77%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs
     49152  0.77% 73.38%     114689  1.79%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
     49152  0.77% 74.15%      49152  0.77%  strings.genSplit
     44150  0.69% 74.84%      44150  0.69%  encoding/base64.(*Encoding).DecodeString
     43692  0.68% 75.52%      43692  0.68%  container/list.New (inline)
     43692  0.68% 76.21%      43692  0.68%  github.com/gocql/gocql.(*Session).NewBatch
     43692  0.68% 76.89%      51884  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
     43691  0.68% 77.57%      43691  0.68%  github.com/valyala/bytebufferpool.(*Pool).Get
     43691  0.68% 78.25%     496000  7.75%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
     43691  0.68% 78.94%      48732  0.76%  github.com/voedger/voedger/pkg/state.implProvideQueryProcessorState
     43690  0.68% 79.62%     366231  5.72%  github.com/alecthomas/participle/v2.(*strct).Parse
     43690  0.68% 80.30%      54615  0.85%  github.com/voedger/voedger/pkg/istructsmem.storeRow
     40961  0.64% 80.94%      40961  0.64%  github.com/gocql/gocql.(*framer).parseResultFrame
     35501  0.55% 81.50%      35501  0.55%  github.com/voedger/voedger/pkg/processors/command.ProvideServiceFactory.func1.1
     32769  0.51% 82.01%      84106  1.31%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).storeToBytes
     32768  0.51% 82.52%      98304  1.54%  encoding/json.(*decodeState).literalInterface
     32768  0.51% 83.03%      32768  0.51%  github.com/alecthomas/participle/v2.(*reference).Parse
     32768  0.51% 83.55%      48518  0.76%  github.com/alecthomas/participle/v2.setField
     32768  0.51% 84.06%      39322  0.61%  github.com/voedger/voedger/pkg/parser.iterate
     32768  0.51% 84.57%      32768  0.51%  github.com/voedger/voedger/pkg/processors/query.newQueryProcessorPipeline.func12
     32768  0.51% 85.08%      73041  1.14%  github.com/voedger/voedger/pkg/router.createRequest
     32768  0.51% 85.59%     100621  1.57%  github.com/voedger/voedger/pkg/state.(*recordsStorage).Get
     30946  0.48% 86.08%     329140  5.14%  github.com/voedger/voedger/pkg/istructsmem.newKey
     29129  0.46% 86.53%     135062  2.11%  github.com/gocql/gocql.(*Conn).executeQuery
     24577  0.38% 86.92%      69786  1.09%  github.com/gocql/gocql.(*Conn).recv
     21846  0.34% 87.26%     996530 15.57%  encoding/json.Unmarshal
     21846  0.34% 87.60%      38230   0.6%  github.com/gocql/gocql.(*dcAwareRR).Pick
     21845  0.34% 87.94%     366231  5.72%  github.com/alecthomas/participle/v2.(*capture).Parse
     21845  0.34% 88.28%      49152  0.77%  github.com/voedger/voedger/pkg/itokensjwt.buildGenericPayload
     17748  0.28% 88.56%     366231  5.72%  github.com/alecthomas/participle/v2.(*sequence).Parse
     16385  0.26% 88.82%     745383 11.65%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
     16384  0.26% 89.07%      40728  0.64%  github.com/untillpro/ibusmem.(*bus).SendRequest2
     11377  0.18% 89.25%     128936  2.01%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).Update
     10923  0.17% 89.42%      56684  0.89%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs
     10923  0.17% 89.59%     105547  1.65%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).validate
      8192  0.13% 89.72%     346238  5.41%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
      8192  0.13% 89.85%      64652  1.01%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.ProvideTableBusinessValidator.func1.1
      8192  0.13% 89.97%      99474  1.55%  github.com/voedger/voedger/pkg/processors/query.implRowsProcessorFactory
      8192  0.13% 90.10%     287165  4.49%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).NewKeyBuilder
      8192  0.13% 90.23%     118641  1.85%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ProvideValueBuilder
      6554   0.1% 90.33%     244788  3.83%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
      6554   0.1% 90.44%     469428  7.34%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthenticator).Authenticate
      4096 0.064% 90.50%      64613  1.01%  github.com/voedger/voedger/pkg/sys/authnz/workspace.qcwbnQryExec
         0     0% 90.50%      72366  1.13%  bytes.(*Buffer).Write
         0     0% 90.50%     222669  3.48%  encoding/json.(*Decoder).Decode
         0     0% 90.50%      67077  1.05%  encoding/json.(*decodeState).array
         0     0% 90.50%     765100 11.96%  encoding/json.(*decodeState).arrayInterface
         0     0% 90.50%    1192231 18.63%  encoding/json.(*decodeState).unmarshal
         0     0% 90.50%    1192231 18.63%  encoding/json.(*decodeState).value
         0     0% 90.50%     797868 12.47%  encoding/json.(*decodeState).valueInterface
         0     0% 90.50%     315650  4.93%  github.com/alecthomas/participle/v2.(*Parser[...]).ParseFromLexer
         0     0% 90.50%     324064  5.06%  github.com/alecthomas/participle/v2.(*Parser[...]).ParseString
         0     0% 90.50%     326579  5.10%  github.com/alecthomas/participle/v2.(*Parser[...]).parse
         0     0% 90.50%     315650  4.93%  github.com/alecthomas/participle/v2.(*Parser[...]).parseInto
         0     0% 90.50%     315650  4.93%  github.com/alecthomas/participle/v2.(*Parser[...]).parseOne
         0     0% 90.50%     344386  5.38%  github.com/alecthomas/participle/v2.(*disjunction).Parse
         0     0% 90.50%     366231  5.72%  github.com/alecthomas/participle/v2.(*group).Parse
         0     0% 90.50%      48518  0.76%  github.com/alecthomas/participle/v2.(*parseContext).Apply
         0     0% 90.50%      42852  0.67%  github.com/gocql/gocql.(*Batch).attempt
