File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 6:15pm (UTC)
Showing nodes accounting for 5924999, 83.87% of 7064896 total
Dropped 381 nodes (cum <= 35324)
      flat  flat%   sum%        cum   cum%
    718855 10.18% 10.18%     718855 10.18%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    491524  6.96% 17.13%     491524  6.96%  github.com/voedger/voedger/pkg/parser.iterate
    458758  6.49% 23.63%     458758  6.49%  encoding/json.unquote (inline)
    319023  4.52% 28.14%     577657  8.18%  github.com/untillpro/dynobuffers.glob..func1
    258634  3.66% 31.80%     258634  3.66%  github.com/google/flatbuffers/go.NewBuilder (inline)
    143215  2.03% 33.83%     982764 13.91%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    141995  2.01% 35.84%     975981 13.81%  encoding/json.(*decodeState).object
    131073  1.86% 37.69%     498648  7.06%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    125967  1.78% 39.48%     202442  2.87%  github.com/alecthomas/participle/v2/lexer.Upgrade
    120694  1.71% 41.19%     120694  1.71%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
    114689  1.62% 42.81%     114689  1.62%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
    100830  1.43% 44.24%     166366  2.35%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
     98304  1.39% 45.63%      98304  1.39%  encoding/json.(*decodeState).literalStore
     88087  1.25% 46.87%     104471  1.48%  github.com/alecthomas/participle/v2.newTagLexer
     86023  1.22% 48.09%      86023  1.22%  github.com/gocql/gocql.newFramer (inline)
     81144  1.15% 49.24%      81144  1.15%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
     80830  1.14% 50.38%      80830  1.14%  time.NewTimer
     75372  1.07% 51.45%      75372  1.07%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     73029  1.03% 52.49%     662859  9.38%  encoding/json.(*decodeState).objectInterface
     69177  0.98% 53.46%     332176  4.70%  github.com/alecthomas/participle/v2.(*sequence).Parse
     66629  0.94% 54.41%      66629  0.94%  reflect.New
     66493  0.94% 55.35%      66493  0.94%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
     65538  0.93% 56.28%     145611  2.06%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).validate
     65537  0.93% 57.20%      65537  0.93%  github.com/gocql/gocql.(*writeCoalescer).writeContext
     65536  0.93% 58.13%     105819  1.50%  bytes.(*Buffer).grow
     65536  0.93% 59.06%      65536  0.93%  encoding/json.(*decodeState).convertNumber
     65536  0.93% 59.99%     131072  1.86%  encoding/json.(*decodeState).literalInterface
     65536  0.93% 60.91%      65536  0.93%  github.com/alecthomas/participle/v2.textScannerTransform
     65536  0.93% 61.84%      76459  1.08%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
     65536  0.93% 62.77%      65536  0.93%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validKey
     65536  0.93% 63.70%      65536  0.93%  net.IP.String
     65536  0.93% 64.63%      65536  0.93%  reflect.(*structType).Field
     57344  0.81% 65.44%     157494  2.23%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ProvideValueBuilder
     55462  0.79% 66.22%      55462  0.79%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
     54615  0.77% 67.00%     131074  1.86%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     54161  0.77% 67.76%      54161  0.77%  encoding/base64.(*Encoding).DecodeString
     50974  0.72% 68.48%     178298  2.52%  github.com/voedger/voedger/pkg/istructsmem.newValue
     49402   0.7% 69.18%      49402   0.7%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
     49152   0.7% 69.88%      98305  1.39%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
     47335  0.67% 70.55%     848549 12.01%  encoding/json.Unmarshal
     46421  0.66% 71.21%     204915  2.90%  github.com/gocql/gocql.(*Conn).exec
     43691  0.62% 71.82%      65536  0.93%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     43691  0.62% 72.44%      47790  0.68%  github.com/voedger/voedger/pkg/istructsmem.storeRow
     43690  0.62% 73.06%      43690  0.62%  github.com/alecthomas/participle/v2.conform
     43690  0.62% 73.68%      43690  0.62%  github.com/voedger/voedger/pkg/istructsmem.recordKey (inline)
     40283  0.57% 74.25%      40283  0.57%  bytes.growSlice
     38687  0.55% 74.80%     170809  2.42%  github.com/gocql/gocql.(*Conn).executeBatch
     34134  0.48% 75.28%     230451  3.26%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
     32769  0.46% 75.74%     858876 12.16%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
     32768  0.46% 76.21%     412927  5.84%  github.com/alecthomas/participle/v2.(*generatorContext).parseSequence
     32768  0.46% 76.67%     241656  3.42%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
     32768  0.46% 77.14%      38726  0.55%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs.func2
     32768  0.46% 77.60%      78799  1.12%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity
     32768  0.46% 78.06%     314253  4.45%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).putPLog
     32768  0.46% 78.53%      55134  0.78%  github.com/voedger/voedger/pkg/router.createRequest
     32768  0.46% 78.99%     176844  2.50%  github.com/voedger/voedger/pkg/state.(*recordsStorage).Get
     27308  0.39% 79.38%     123178  1.74%  github.com/gocql/gocql.(*Conn).executeQuery
     24576  0.35% 79.72%     215226  3.05%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).NewKeyBuilder
     24032  0.34% 80.06%     826107 11.69%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).PutBatch
     23663  0.33% 80.40%     267551  3.79%  github.com/voedger/voedger/pkg/istructsmem.newKey
     21846  0.31% 80.71%      38230  0.54%  github.com/gocql/gocql.(*dcAwareRR).Pick
     21846  0.31% 81.02%      67854  0.96%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs
     21845  0.31% 81.33%     318522  4.51%  github.com/alecthomas/participle/v2.(*capture).Parse
     21845  0.31% 81.64%     481755  6.82%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).Get
     21845  0.31% 81.95%     454014  6.43%  github.com/voedger/voedger/pkg/itokensjwt.(*JWTSigner).ValidateToken
     21845  0.31% 82.26%      61167  0.87%  github.com/voedger/voedger/pkg/pipeline.newFlushTimer
     21845  0.31% 82.56%      81240  1.15%  github.com/voedger/voedger/pkg/processors/command.(*opSendResponse).DoSync
     20286  0.29% 82.85%      83234  1.18%  net/http.(*conn).readRequest
