File: airs-bp
Type: alloc_objects
Time: Aug 20, 2023 at 6:42pm (UTC)
Showing nodes accounting for 5491964, 81.66% of 6725200 total
Dropped 400 nodes (cum <= 33626)
      flat  flat%   sum%        cum   cum%
    589831  8.77%  8.77%     589831  8.77%  github.com/voedger/voedger/pkg/parser.iterate
    550916  8.19% 16.96%     550916  8.19%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    356945  5.31% 22.27%     356945  5.31%  github.com/google/flatbuffers/go.NewBuilder (inline)
    338606  5.03% 27.30%     338606  5.03%  encoding/json.unquote (inline)
    250669  3.73% 31.03%     607614  9.03%  github.com/untillpro/dynobuffers.glob..func1
    147456  2.19% 33.22%     147456  2.19%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
    141995  2.11% 35.34%     451800  6.72%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    137714  2.05% 37.38%     713388 10.61%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    132960  1.98% 39.36%     132960  1.98%  reflect.New
    118383  1.76% 41.12%     200303  2.98%  github.com/alecthomas/participle/v2/lexer.Upgrade
    105872  1.57% 42.70%     105872  1.57%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
    105832  1.57% 44.27%     138600  2.06%  github.com/alecthomas/participle/v2.newTagLexer
     99053  1.47% 45.74%      99053  1.47%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
     98305  1.46% 47.20%      98305  1.46%  encoding/json.(*decodeState).convertNumber
     93882  1.40% 48.60%     530793  7.89%  encoding/json.(*decodeState).objectInterface
     87382  1.30% 49.90%      87382  1.30%  github.com/gocql/gocql.(*writeCoalescer).flush
     86474  1.29% 51.18%     208346  3.10%  github.com/gocql/gocql.(*Conn).executeBatch
     81928  1.22% 52.40%      81928  1.22%  github.com/gocql/gocql.newFramer (inline)
     81920  1.22% 53.62%      99250  1.48%  github.com/alecthomas/participle/v2.visit
     79190  1.18% 54.80%     162411  2.41%  github.com/gocql/gocql.(*Conn).exec
     68818  1.02% 55.82%      68818  1.02%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     65537  0.97% 56.80%      65537  0.97%  encoding/json.(*decodeState).literalStore
     65537  0.97% 57.77%      73729  1.10%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     65537  0.97% 58.75%      87382  1.30%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
     65536  0.97% 59.72%      65536  0.97%  encoding/json.(*scanner).pushParseState
     65536  0.97% 60.69%     114688  1.71%  github.com/alecthomas/participle/v2.setField
     65536  0.97% 61.67%      65536  0.97%  github.com/alecthomas/participle/v2.textScannerTransform
     65536  0.97% 62.64%     152918  2.27%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
