File: airs-bp
Type: alloc_objects
Time: Aug 26, 2023 at 7:08pm (UTC)
Showing nodes accounting for 5774027, 84.37% of 6843699 total
Dropped 364 nodes (cum <= 34218)
      flat  flat%   sum%        cum   cum%
    692235 10.11% 10.11%     692235 10.11%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    469682  6.86% 16.98%     469682  6.86%  encoding/json.unquote (inline)
    333064  4.87% 21.84%     589361  8.61%  github.com/untillpro/dynobuffers.glob..func1
    294914  4.31% 26.15%     294914  4.31%  github.com/voedger/voedger/pkg/parser.iterate
    256297  3.75% 29.90%     256297  3.75%  github.com/google/flatbuffers/go.NewBuilder (inline)
    209419  3.06% 32.96%     209419  3.06%  reflect.New
    198679  2.90% 35.86%    1042193 15.23%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    196611  2.87% 38.73%     240302  3.51%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
    163840  2.39% 41.13%     163840  2.39%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
    138591  2.03% 43.15%     247834  3.62%  github.com/alecthomas/participle/v2/lexer.Upgrade
    118511  1.73% 44.89%     118511  1.73%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
    100856  1.47% 46.36%     245855  3.59%  github.com/gocql/gocql.(*Conn).executeBatch
     98305  1.44% 47.80%      98305  1.44%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
     98304  1.44% 49.23%     110711  1.62%  github.com/untillpro/ibusmem.(*bus).SendRequest2
     98304  1.44% 50.67%     478652  6.99%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
     90119  1.32% 51.99%      90119  1.32%  github.com/gocql/gocql.newFramer (inline)
     89806  1.31% 53.30%     728791 10.65%  encoding/json.(*decodeState).objectInterface
     81922  1.20% 54.49%     109234  1.60%  bytes.(*Buffer).grow
     78649  1.15% 55.64%      78649  1.15%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     65539  0.96% 56.60%      65539  0.96%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
     65537  0.96% 57.56%      65537  0.96%  encoding/json.(*decodeState).convertNumber
     65537  0.96% 58.52%     131074  1.92%  encoding/json.(*decodeState).literalInterface
     65537  0.96% 59.47%      81922  1.20%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
     65536  0.96% 60.43%      65536  0.96%  github.com/gocql/gocql.roundRobbin
     65536  0.96% 61.39%      71399  1.04%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutRecordID
     65536  0.96% 62.35%      66969  0.98%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutString
     65536  0.96% 63.30%      65536  0.96%  strings.NewReader (inline)
     65535  0.96% 64.26%      65535  0.96%  github.com/gocql/gocql.unmarshalVarchar
     64446  0.94% 65.20%      64446  0.94%  time.NewTimer
     62804  0.92% 66.12%     180918  2.64%  github.com/gocql/gocql.(*Conn).exec
     59418  0.87% 66.99%     124954  1.83%  github.com/alecthomas/participle/v2.newTagLexer
     57891  0.85% 67.84%      57891  0.85%  fmt.Sprintf
     50420  0.74% 68.57%      50420  0.74%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
     48371  0.71% 69.28%      48371  0.71%  github.com/voedger/voedger/pkg/pipeline.WireAsyncOperator
     47855   0.7% 69.98%     113391  1.66%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
     43692  0.64% 70.62%     176636  2.58%  github.com/voedger/voedger/pkg/istructsmem.newValue
     43691  0.64% 71.26%     101036  1.48%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     43691  0.64% 71.89%      43691  0.64%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     43691  0.64% 72.53%      43755  0.64%  regexp.(*Regexp).backtrack
     43690  0.64% 73.17%     986384 14.41%  encoding/json.(*decodeState).object
     43690  0.64% 73.81%     341673  4.99%  github.com/alecthomas/participle/v2.(*capture).Parse
     38319  0.56% 74.37%      38319  0.56%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
     34589  0.51% 74.87%     274730  4.01%  github.com/voedger/voedger/pkg/istructsmem.newKey
