File: airs-bp
Type: alloc_objects
Time: Aug 10, 2023 at 6:12pm (UTC)
Showing nodes accounting for 5699415, 87.28% of 6530401 total
Dropped 373 nodes (cum <= 32652)
      flat  flat%   sum%        cum   cum%
    726024 11.12% 11.12%     726024 11.12%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    415066  6.36% 17.47%     415066  6.36%  encoding/json.unquote (inline)
    341726  5.23% 22.71%     341726  5.23%  github.com/google/flatbuffers/go.NewBuilder (inline)
    257462  3.94% 26.65%     599188  9.18%  github.com/untillpro/dynobuffers.glob..func1
    240304  3.68% 30.33%     240304  3.68%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
    163841  2.51% 32.84%     603119  9.24%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    131074  2.01% 34.84%     371378  5.69%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
    122541  1.88% 36.72%     122541  1.88%  reflect.New
    118124  1.81% 38.53%     582342  8.92%  encoding/json.(*decodeState).objectInterface
    115411  1.77% 40.30%     865647 13.26%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    113431  1.74% 42.03%     113431  1.74%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
    110601  1.69% 43.73%     110601  1.69%  github.com/gocql/gocql.newFramer (inline)
     98306  1.51% 45.23%      98306  1.51%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validKey
     98305  1.51% 46.74%      98305  1.51%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
     91978  1.41% 48.15%     275119  4.21%  github.com/gocql/gocql.(*Conn).executeBatch
     87382  1.34% 49.49%     876347 13.42%  encoding/json.(*decodeState).object
     87381  1.34% 50.82%     109226  1.67%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     79738  1.22% 52.04%      79738  1.22%  time.NewTimer
     74867  1.15% 53.19%      74867  1.15%  net/textproto.(*Reader).ReadMIMEHeader
     66629  1.02% 54.21%      66629  1.02%  fmt.Sprintf
     65536  1.00% 55.21%      65536  1.00%  encoding/json.(*decodeState).convertNumber
     65536  1.00% 56.22%     362914  5.56%  github.com/alecthomas/participle/v2.(*capture).Parse
     65536  1.00% 57.22%      87429  1.34%  github.com/alecthomas/participle/v2.setField
     65536  1.00% 58.23%      87382  1.34%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
     65536  1.00% 59.23%      66969  1.03%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutString
     63860  0.98% 60.21%      63860  0.98%  github.com/gocql/gocql.(*Session).NewBatch
     61897  0.95% 61.15%      83743  1.28%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
     57344  0.88% 62.03%     172474  2.64%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ProvideValueBuilder
     54616  0.84% 62.87%     211667  3.24%  github.com/voedger/voedger/pkg/istructsmem.newValue
     54613  0.84% 63.71%      70997  1.09%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
     54613  0.84% 64.54%      59294  0.91%  github.com/voedger/voedger/pkg/pipeline.NewAsyncPipeline
     53639  0.82% 65.36%      53639  0.82%  bytes.growSlice
     52432   0.8% 66.17%      52432   0.8%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     49153  0.75% 66.92%     102792  1.57%  bytes.(*Buffer).grow
     49152  0.75% 67.67%      81920  1.25%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
     49151  0.75% 68.42%     209696  3.21%  github.com/gocql/gocql.(*Conn).exec
     47167  0.72% 69.15%      47167  0.72%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
     44868  0.69% 69.83%      44868  0.69%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
     43692  0.67% 70.50%     101037  1.55%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     43690  0.67% 71.17%      43690  0.67%  github.com/voedger/voedger/pkg/istructsmem.recordKey (inline)
     40962  0.63% 71.80%      93755  1.44%  github.com/gocql/gocql.(*framer).parseResultFrame
     39322   0.6% 72.40%     374267  5.73%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
     38229  0.59% 72.99%      39489   0.6%  github.com/voedger/voedger/pkg/state.implProvideQueryProcessorState
     38228  0.59% 73.57%      38228  0.59%  github.com/gocql/gocql.(*writeCoalescer).writeContext
     34591  0.53% 74.10%      34591  0.53%  encoding/base64.(*Encoding).DecodeString
     33861  0.52% 74.62%      33861  0.52%  strings.genSplit
